Year,Date,Location,Site,Habitat,Transect,Quadrat,Taxonomy_Substrate_Functional_Group,Percent_Cover
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 1,LTER 1,Outer 10,1,1,Algal Turf,64
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 1,LTER 1,Outer 10,1,1,Asparagopsis taxiformis,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 1,LTER 1,Outer 10,1,1,Coral,12
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 1,LTER 1,Outer 10,1,1,Crustose Corallines,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 1,LTER 1,Outer 10,1,1,Halimeda minima,12
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 1,LTER 1,Outer 10,1,1,Halimeda taenicola,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 1,LTER 1,Outer 10,1,1,Lobophora variegata,12
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 1,LTER 1,Outer 10,1,1,Millepora platyphylla,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 1,LTER 1,Outer 10,1,1,Sand,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 10,LTER 1,Outer 10,1,10,Algal Turf,32
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 10,LTER 1,Outer 10,1,10,Asparagopsis taxiformis,8
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 10,LTER 1,Outer 10,1,10,Coral,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 10,LTER 1,Outer 10,1,10,Crustose Corallines,12
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 10,LTER 1,Outer 10,1,10,Halimeda minima,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 10,LTER 1,Outer 10,1,10,Halimeda taenicola,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 10,LTER 1,Outer 10,1,10,Lobophora variegata,48
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 10,LTER 1,Outer 10,1,10,Millepora platyphylla,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 10,LTER 1,Outer 10,1,10,Sand,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 2,LTER 1,Outer 10,1,2,Algal Turf,92
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 2,LTER 1,Outer 10,1,2,Asparagopsis taxiformis,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 2,LTER 1,Outer 10,1,2,Coral,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 2,LTER 1,Outer 10,1,2,Crustose Corallines,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 2,LTER 1,Outer 10,1,2,Halimeda minima,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 2,LTER 1,Outer 10,1,2,Halimeda taenicola,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 2,LTER 1,Outer 10,1,2,Lobophora variegata,8
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 2,LTER 1,Outer 10,1,2,Millepora platyphylla,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 2,LTER 1,Outer 10,1,2,Sand,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 3,LTER 1,Outer 10,1,3,Algal Turf,60
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 3,LTER 1,Outer 10,1,3,Asparagopsis taxiformis,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 3,LTER 1,Outer 10,1,3,Coral,8
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 3,LTER 1,Outer 10,1,3,Crustose Corallines,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 3,LTER 1,Outer 10,1,3,Halimeda minima,8
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 3,LTER 1,Outer 10,1,3,Halimeda taenicola,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 3,LTER 1,Outer 10,1,3,Lobophora variegata,24
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 3,LTER 1,Outer 10,1,3,Millepora platyphylla,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 3,LTER 1,Outer 10,1,3,Sand,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 4,LTER 1,Outer 10,1,4,Algal Turf,68
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 4,LTER 1,Outer 10,1,4,Asparagopsis taxiformis,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 4,LTER 1,Outer 10,1,4,Coral,8
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 4,LTER 1,Outer 10,1,4,Crustose Corallines,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 4,LTER 1,Outer 10,1,4,Halimeda minima,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 4,LTER 1,Outer 10,1,4,Halimeda taenicola,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 4,LTER 1,Outer 10,1,4,Lobophora variegata,24
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 4,LTER 1,Outer 10,1,4,Millepora platyphylla,0
2023,2023-01-21,LTER 1 Outer 10 m Algae Transect 1 Quad 4,LTER 1,Outer 10,1,4,Sand,0
