date,site,location,funct_group,total_cover
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,Hard coral,26.6
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,Hard coral,40.4
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,Hard coral,53
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,Hard coral,57.2
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,Hard coral,37.5
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,Hard coral,54.9
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,Hard coral,23.4
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,Hard coral,58.3
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,Hard coral,33.3
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,Hard coral,41.099999999999994
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,Hard coral,39.8
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,Hard coral,68.4
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,Hard coral,82.7
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,Hard coral,24.8
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,Hard coral,45.8
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,Hard coral,0
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,Hard coral,38.2
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,Hard coral,30.5
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,Hard coral,56.599999999999994
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,Hard coral,62.9
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,Hard coral,59.2
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,Hard coral,58.2
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,Hard coral,28.200000000000003
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,Hard coral,41.5
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,Hard coral,69.6
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,Hard coral,48.2
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,Hard coral,61.099999999999994
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,Hard coral,40.4
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,Hard coral,61.2
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 4-5 Quadrat 8,Hard coral,59
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,Hard coral,47.4
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,Hard coral,28
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,Hard coral,23.8
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,Hard coral,39.6
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,Hard coral,22.8
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,Hard coral,53.1
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,Hard coral,40.7
2006,LTER 1,LTER 1 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,Hard coral,64.7
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,Hard coral,42.8
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,Hard coral,46.4
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,Hard coral,27.3
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,Hard coral,42.6
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,Hard coral,21.6
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,Hard coral,65.60000000000001
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,Hard coral,40.3
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,Hard coral,16.8
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,Hard coral,23.400000000000002
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,Hard coral,47.199999999999996
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,Hard coral,29.599999999999998
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,Hard coral,14
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,Hard coral,22.1
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,Hard coral,26.900000000000002
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,Hard coral,29.8
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,Hard coral,24.7
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,Hard coral,56.5
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,Hard coral,32.8
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,Hard coral,16.9
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,Hard coral,12.1
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 5,Hard coral,24.3
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 6,Hard coral,30
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 7,Hard coral,58
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 3-4 Quadrat 8,Hard coral,28.799999999999997
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 1,Hard coral,16.8
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 2,Hard coral,42.7
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 3,Hard coral,19
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 4,Hard coral,9.8
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 5,Hard coral,16.8
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 6,Hard coral,26.5
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 7,Hard coral,25.9
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 4-5 Quadrat 8,Hard coral,30.4
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 1,Hard coral,9.799999999999999
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 2,Hard coral,24.599999999999998
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 3,Hard coral,6.8
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 4,Hard coral,12
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 5,Hard coral,35.5
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 6,Hard coral,26.2
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 7,Hard coral,34.3
2006,LTER 2,LTER 2 Outer 10 m Coral Transect Pole 5-6 Quadrat 8,Hard coral,17.6
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,Hard coral,25.7
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,Hard coral,21.5
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,Hard coral,57.5
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,Hard coral,31.6
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,Hard coral,29.099999999999998
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,Hard coral,27.1
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,Hard coral,19.2
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,Hard coral,25.2
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,Hard coral,24.7
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,Hard coral,22.599999999999998
2006,LTER 3,LTER 3 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,Hard coral,33.4
