Date,Location,Sand,CTB,Non_Coralline_Crustose_Algae,Soft_Coral,Macroalgae,Acanthastrea,Acropora,Astrea,Astreopora,Cyphastrea,Fungiidae_unidentified,Gardinoseris,Goniastrea,Herpolitha,Leptastrea,Leptoseris,Lobophyllia,Millepora,Montipora,Pachyseris,Pavona,Plesiastrea,Pocillopora,Porites,Porites_irregularis,Porites_rus,Porites_spp_Massive,Psammocora,Sandolitha,Stylocoeniella,Tubastrea,Unknown_or_Other
2005,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 1,  22.5,na,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  77.5,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 2,  30.2,  49.1,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  20.7,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 3,   2.5,  86.5,990.9,na,   4.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,   6.7,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 4,  15.4,  59.4,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  25.1,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 5,   0.6,  51.8,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  47.6,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 6,na,  97.6,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,   2.4,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 7,   5.0,  84.9,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  10.1,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 1-2 Quadrat 8,   1.9,  26.1,990.9,na,   0.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  71.3,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 1,   7.6,  55.7,990.9,na,   4.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  32.3,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 2,   3.1,  71.6,990.9,na,   1.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  23.5,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 3,   2.0,  77.0,990.9,na,   5.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  15.1,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 4,   2.4,  49.1,990.9,na,   1.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  47.3,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 5,   1.8,  33.3,990.9,na,  20.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  44.2,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 6,   5.5,  57.1,990.9,na,   0.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  36.8,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 7,   6.5,  69.0,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  24.5,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 2-3 Quadrat 8,   0.6,  78.2,990.9,na,   8.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,   0.6,na,na,  12.2,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 1,  32.1,  55.1,990.9,na,   2.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  10.3,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 2,   0.6,  67.5,990.9,na,   6.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  25.3,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 3,  44.0,  37.7,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  18.2,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 4,  35.4,  53.8,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  10.8,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 5,  33.5,  59.5,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,   7.0,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 6,   1.9,  98.1,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 7,   0.6,  86.7,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  12.7,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 3-4 Quadrat 8,na,  39.0,990.9,na,  15.7,na,na,na,na,na,   1.9,na,na,na,na,na,na,na,na,na,na,na,na,  43.4,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 1,  20.6,na,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  79.4,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 2,  58.8,  29.7,990.9,na,   6.7,na,na,na,na,na,na,na,na,na,na,na,na,na,   0.6,na,na,na,na,   4.2,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 3,  54.6,  37.4,990.9,na,   4.9,na,na,na,na,na,na,na,na,na,na,na,na,na,   1.8,na,   1.2,na,na,na,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 4,   4.5,  84.4,990.9,na,  11.0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 5,  12.2,  29.9,990.9,na,  15.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  42.1,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 6,  58.2,  27.3,990.9,na,   4.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  10.3,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 7,  24.0,  47.4,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  28.6,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 4-5 Quadrat 8,  34.6,  15.4,990.9,na,   1.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  48.8,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 1, 100.0,na,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 2,  84.5,   6.8,990.9,na,   7.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,   1.2,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 3,  24.6,  50.9,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  24.6,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 4,na,  94.1,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,   5.9,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 5,  84.8,  15.2,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 7,  12.7,  38.2,990.9,na,   0.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  48.4,na,na,na,na,na,na,na,na
2005,LTER 1 Fringing Reef Coral Transect Pole 5-6 Quadrat 8,  27.0,  60.7,990.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  12.3,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,na,  73.2,990.9,na,na,na,   3.0,na,na,na,na,na,na,na,na,na,na,na,   1.8,na,   1.2,na,  15.9,   4.9,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,na,  52.1,990.9,na,   0.6,na,  18.8,na,na,na,na,na,na,na,na,na,na,na,na,na,   1.2,na,  26.1,na,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,na,  51.5,990.9,na,na,na,  26.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,  18.2,   3.6,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,na,  40.7,990.9,na,   6.8,na,   3.1,na,na,na,na,na,na,na,   1.2,na,na,na,   2.5,na,na,na,  32.7,  13.0,na,na,na,na,na,na,na,na
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,na,  59.1,990.9,na,   7.5,na,   8.2,na,na,na,na,na,na,na,na,na,na,na,   0.6,na,na,na,  17.0,   7.5,na,na,na,na,na,na,na,na
