Structure_TTT,Initial_Community,Herbivory_TTT,Herb_TTT_cm,Mac_Cover_normalized,Mac-Cover_%
No structure,Turf,1x1,2.5,0.975609756,60
No structure,Turf,1x1,2.5,1.463414634,90
No structure,Turf,1x1,2.5,0.325203252,20
No structure,Turf,1x1,2.5,0.845528455,52
No structure,Turf,1x1,2.5,1.008130081,62
No structure,Turf,1x1,2.5,1.382113821,85
No structure,Turf,2x2,5,0.43902439,27
No structure,Turf,2x2,5,0.260162602,16
No structure,Turf,2x2,5,0.081300813,5
No structure,Turf,2x2,5,0,0
No structure,Turf,2x2,5,0.048780488,3
No structure,Turf,2x2,5,0.520325203,32
No structure,Turf,3x3,7.5,0.081300813,5
No structure,Turf,3x3,7.5,0,0
No structure,Turf,3x3,7.5,0.357723577,22
No structure,Turf,3x3,7.5,0.048780488,3
No structure,Turf,3x3,7.5,0.032520325,2
No structure,Turf,3x3,7.5,0,0
No structure,Turf,4x4,10,0,0
No structure,Turf,4x4,10,0,0
No structure,Turf,4x4,10,0,0
No structure,Turf,4x4,10,0,0
No structure,Turf,4x4,10,0,0
No structure,Turf,4x4,10,0,0
No structure,Turf,open,Ambient,0,0
No structure,Turf,open,Ambient,0,0
No structure,Turf,open,Ambient,0,0
No structure,Turf,open,Ambient,0,0
No structure,Turf,open,Ambient,0,0
No structure,Turf,open,Ambient,0,0
No structure,Macro,1x1,2.5,1.124260355,95
No structure,Macro,1x1,2.5,1.124260355,95
No structure,Macro,1x1,2.5,0.366863905,31
No structure,Macro,1x1,2.5,1.136094675,96
No structure,Macro,1x1,2.5,1.124260355,95
No structure,Macro,1x1,2.5,1.124260355,95
No structure,Macro,2x2,5,0.946745562,80
No structure,Macro,2x2,5,0.485207101,41
No structure,Macro,2x2,5,0.733727811,62
No structure,Macro,2x2,5,0.899408284,76
No structure,Macro,2x2,5,0.378698225,32
No structure,Macro,2x2,5,0.769230769,65
No structure,Macro,3x3,7.5,1.065088757,90
No structure,Macro,3x3,7.5,0.923076923,78
No structure,Macro,3x3,7.5,0.26035503,22
No structure,Macro,3x3,7.5,0.650887574,55
No structure,Macro,3x3,7.5,0.378698225,32
No structure,Macro,3x3,7.5,0.852071006,72
No structure,Macro,4x4,10,1.00591716,85
No structure,Macro,4x4,10,0.118343195,10
No structure,Macro,4x4,10,0.769230769,65
No structure,Macro,4x4,10,0.49704142,42
No structure,Macro,4x4,10,0.556213018,47
No structure,Macro,4x4,10,0.804733728,68
No structure,Macro,open,Ambient,0,0
No structure,Macro,open,Ambient,0,0
No structure,Macro,open,Ambient,0,0
No structure,Macro,open,Ambient,0.023668639,2
No structure,Macro,open,Ambient,0.24852071,21
No structure,Macro,open,Ambient,0.378698225,32
Dead skeletons,Turf,1x1,2.5,1.040540541,77
Dead skeletons,Turf,1x1,2.5,0.810810811,60
Dead skeletons,Turf,1x1,2.5,1.324324324,98
Dead skeletons,Turf,1x1,2.5,0.621621622,46
Dead skeletons,Turf,1x1,2.5,1.216216216,90
Dead skeletons,Turf,1x1,2.5,0.986486486,73
Dead skeletons,Turf,2x2,5,0.135135135,10
Dead skeletons,Turf,2x2,5,0.648648649,48
Dead skeletons,Turf,2x2,5,1.013513514,75
Dead skeletons,Turf,2x2,5,1.013513514,75
Dead skeletons,Turf,2x2,5,0.743243243,55
Dead skeletons,Turf,2x2,5,1.081081081,80
Dead skeletons,Turf,3x3,7.5,1.081081081,80
Dead skeletons,Turf,3x3,7.5,1.283783784,95
Dead skeletons,Turf,3x3,7.5,0.405405405,30
Dead skeletons,Turf,3x3,7.5,1.081081081,80
Dead skeletons,Turf,3x3,7.5,0.608108108,45
Dead skeletons,Turf,3x3,7.5,0.540540541,40
Dead skeletons,Turf,4x4,10,0.878378378,65
Dead skeletons,Turf,4x4,10,0.337837838,25
Dead skeletons,Turf,4x4,10,0.878378378,65
Dead skeletons,Turf,4x4,10,0.743243243,55
