Structure_TTT,Initial_Community,Herbivory_TTT,Herb_TTT_cm,Mac_Cover_normalized,Mac-Cover_%,Mac_Biomass_Normalized,Mac_Biomass_gm
None,Turf,1x1,2.5,0.975609756,60,1.241040956,290.9
None,Turf,1x1,2.5,1.463414634,90,1.462030717,342.7
None,Turf,1x1,2.5,0.325203252,20,0.370307167,86.8
None,Turf,1x1,2.5,0.845528455,52,0.566979522,132.9
None,Turf,1x1,2.5,1.008130081,62,1.127986348,264.4
None,Turf,1x1,2.5,1.382113821,85,1.231228669,288.6
None,Turf,2x2,5,0.43902439,27,0.685580205,160.7
None,Turf,2x2,5,0.260162602,16,0.177474403,41.6
None,Turf,2x2,5,0.081300813,5,0.107508532,25.2
None,Turf,2x2,5,0,0,0,0
None,Turf,2x2,5,0.048780488,3,0.02943686,6.9
None,Turf,2x2,5,0.520325203,32,0.879266212,206.1
None,Turf,3x3,7.5,0.081300813,5,0.061006826,14.3
None,Turf,3x3,7.5,0,0,0,0
None,Turf,3x3,7.5,0.357723577,22,0.359641638,84.3
None,Turf,3x3,7.5,0.048780488,3,0.136945392,32.1
None,Turf,3x3,7.5,0.032520325,2,0.017918089,4.2
None,Turf,3x3,7.5,0,0,0,0
None,Turf,4x4,10,0,0,0,0
None,Turf,4x4,10,0,0,0,0
None,Turf,4x4,10,0,0,0,0
None,Turf,4x4,10,0,0,0.006399317,1.5
None,Turf,4x4,10,0,0,0.19496587,45.7
None,Turf,4x4,10,0,0,0,0
None,Turf,open,Ambient,0,0,0,0
None,Turf,open,Ambient,0,0,0,0
None,Turf,open,Ambient,0,0,0,0
None,Turf,open,Ambient,0,0,0,0
None,Turf,open,Ambient,0,0,0,0
None,Turf,open,Ambient,0,0,0,0
None,Macro,1x1,2.5,1.124260355,95,1.143121387,494.4
None,Macro,1x1,2.5,1.124260355,95,1.039537572,449.6
None,Macro,1x1,2.5,0.366863905,31,0.46867052,202.7
None,Macro,1x1,2.5,1.136094675,96,0.734566474,317.7
